variant,run,seed,val_accuracy,test_accuracy,test_error,precision_macro,recall_macro,f1_macro
raw_pixels_64,1,730,0.9805555555555555,0.9666666666666667,0.033333333333333326,0.9664864864864864,0.9664993564993564,0.9663068670776562
raw_pixels_64,2,747,0.9694444444444444,0.975,0.025000000000000022,0.9751336675020885,0.9747619047619047,0.9747620860296917
raw_pixels_64,3,764,0.9638888888888889,0.9694444444444444,0.030555555555555558,0.9695560692271219,0.969122694122694,0.9688499862929902
raw_pixels_64,4,781,0.9666666666666667,0.9638888888888889,0.036111111111111094,0.9639492363176572,0.9636422136422136,0.9634985276386463
raw_pixels_64,5,798,0.9666666666666667,0.9638888888888889,0.036111111111111094,0.9640999557717823,0.9636465036465036,0.9633967743597049
hog_4x4_9bins,1,730,0.9472222222222222,0.9416666666666667,0.05833333333333335,0.9422219166956008,0.9414157014157014,0.9412270808801845
hog_4x4_9bins,2,747,0.9638888888888889,0.9666666666666667,0.033333333333333326,0.9672303506514034,0.9664993564993566,0.9663319033654915
hog_4x4_9bins,3,764,0.9638888888888889,0.9472222222222222,0.05277777777777781,0.9471419381945697,0.946816816816817,0.9462507320986641
hog_4x4_9bins,4,781,0.95,0.9472222222222222,0.05277777777777781,0.9472981636923512,0.9465830115830114,0.9458941012153605
hog_4x4_9bins,5,798,0.9611111111111111,0.9666666666666667,0.033333333333333326,0.967084151820994,0.9664993564993566,0.9664807465666211
pca_16_from_raw,1,732,0.9833333333333333,0.9666666666666667,0.033333333333333326,0.9664858937885252,0.9663449163449164,0.9660706864451972
pca_16_from_raw,2,749,0.975,0.975,0.025000000000000022,0.9755339220799746,0.9746825396825397,0.9747614667777686
pca_16_from_raw,3,766,0.975,0.9694444444444444,0.030555555555555558,0.9694218141586562,0.9690476190476192,0.9688225111133149
pca_16_from_raw,4,783,0.9833333333333333,0.9583333333333334,0.04166666666666663,0.9579549762057502,0.9580866580866582,0.9577999003289879
pca_16_from_raw,5,800,0.9861111111111112,0.9611111111111111,0.03888888888888886,0.9611924618116567,0.9607142857142857,0.9605400258076818
