variant,method,dimension,run,seed,val_accuracy,accuracy,precision_macro,recall_macro,f1_macro,test_error
raw_pixels_64,flatten raw pixels,64,1,7101,0.975,0.9666666666666667,0.9669005129531445,0.9664242814242815,0.966248776570246,0.033333333333333326
raw_pixels_64,flatten raw pixels,64,2,7102,0.9694444444444444,0.9611111111111111,0.9612148535832745,0.9608644358644358,0.9606724458728122,0.03888888888888886
raw_pixels_64,flatten raw pixels,64,3,7103,0.9694444444444444,0.9638888888888889,0.9647457075725325,0.9636422136422136,0.9633898475953269,0.036111111111111094
raw_pixels_64,flatten raw pixels,64,4,7104,0.9861111111111112,0.9611111111111111,0.9618467359953428,0.960943800943801,0.9608089754861643,0.03888888888888886
raw_pixels_64,flatten raw pixels,64,5,7105,0.9694444444444444,0.9611111111111111,0.9611521271892789,0.960868725868726,0.9606508272053071,0.03888888888888886
hog_4x4_9bins,HOG-like histogram orientovanych gradientu,144,1,7201,0.9416666666666667,0.9611111111111111,0.9616247826774142,0.9608644358644358,0.9608225789588103,0.03888888888888886
hog_4x4_9bins,HOG-like histogram orientovanych gradientu,144,2,7202,0.9666666666666667,0.95,0.9533522611186284,0.94983268983269,0.9502407509312777,0.050000000000000044
hog_4x4_9bins,HOG-like histogram orientovanych gradientu,144,3,7203,0.9555555555555556,0.9472222222222222,0.9486627854719961,0.9471299871299872,0.9472512495925918,0.05277777777777781
hog_4x4_9bins,HOG-like histogram orientovanych gradientu,144,4,7204,0.9583333333333334,0.9611111111111111,0.961206521265944,0.9607057057057057,0.960320349441474,0.03888888888888886
hog_4x4_9bins,HOG-like histogram orientovanych gradientu,144,5,7205,0.9611111111111111,0.9583333333333334,0.9588809088809089,0.9581617331617333,0.9581107834704256,0.04166666666666663
pca_16_from_raw,PCA z raw pixelu,16,1,7301,0.9722222222222222,0.9611111111111111,0.9606409912234216,0.9606349206349206,0.960186169502335,0.03888888888888886
pca_16_from_raw,PCA z raw pixelu,16,2,7302,0.9722222222222222,0.9611111111111111,0.960819558652376,0.9607893607893608,0.9603219099084882,0.03888888888888886
pca_16_from_raw,PCA z raw pixelu,16,3,7303,0.9805555555555555,0.9694444444444444,0.9691450738664361,0.9692020592020592,0.9688772089024587,0.030555555555555558
pca_16_from_raw,PCA z raw pixelu,16,4,7304,0.9805555555555555,0.9722222222222222,0.9721034501994253,0.971904761904762,0.9717751714442568,0.02777777777777779
pca_16_from_raw,PCA z raw pixelu,16,5,7305,0.9861111111111112,0.975,0.9749335459861775,0.9746825396825397,0.9745817491061898,0.025000000000000022
hog_pca_24,PCA z HOG priznaku,24,1,7401,0.9111111111111111,0.9416666666666667,0.9416275274127566,0.9412612612612612,0.9403278509363864,0.05833333333333335
hog_pca_24,PCA z HOG priznaku,24,2,7402,0.9027777777777778,0.9416666666666667,0.9424685172788889,0.9411818961818963,0.9407910971251443,0.05833333333333335
hog_pca_24,PCA z HOG priznaku,24,3,7403,0.9277777777777778,0.9472222222222222,0.9476258536784853,0.9467374517374518,0.9459599483054861,0.05277777777777781
hog_pca_24,PCA z HOG priznaku,24,4,7404,0.9,0.9472222222222222,0.9467618575099476,0.9466623766623767,0.9457002300658826,0.05277777777777781
hog_pca_24,PCA z HOG priznaku,24,5,7405,0.9111111111111111,0.9305555555555556,0.9321685516558752,0.9298369798369798,0.9287773445841022,0.06944444444444442
